TAIL,DAY_TO_GO,EQP,SUBFLEET,CHECK_MH,SCHED_DATE,STATION_NAME,DESCR,CHECK_SEQ
T397,18,321,321R,120,11/12/2023,STA_8,CKC | A10 | ARBS | V2500 A-CHECK 10,A10
T471,14,737,738K,96,11/12/2023,STA_7,CKC | A018 | 737NG | A018CHECK,A018
T485,13,737,738K,96,11/12/2023,STA_10,CKC | A018 | 737NG | A018CHECK,A018
T500,18,737,738K,96,11/12/2023,STA_14,CKC | A018 | 737NG | A018CHECK,A018
T618,19,737,738K,96,11/12/2023,STA_10,CKC | A019 | 737NG | A019CHECK,A019
T775,15,737,738M,96,11/12/2023,STA_4,CKC | A009 | 737MAX8 A009CHECK,A009
T001,78,319,319S,120,,,CKC | A07 | ARBS | CFM A-CHECK 7,A07
T010,62,319,319S,120,,,CKC | A05 | ARBS | CFM A-CHECK 5,A05
T100,62,321,321E,120,,,CKC | A09 | ARBS | LEAP A-CHECK 9,A09
T101,52,321,321E,120,,,CKC | A09 | ARBS | LEAP A-CHECK 9,A09
T102,77,321,321E,120,,,CKC | A08 | ARBS | LEAP A-CHECK 8,A08
T104,14,321,321E,120,,,CKC | A07 | ARBS | LEAP A-CHECK 7,A07
T105,77,321,321E,120,,,CKC | A07 | ARBS | LEAP A-CHECK 7,A07
T106,68,321,321E,120,,,CKC | A07 | ARBS | LEAP A-CHECK 7,A07
T107,30,321,321E,120,,,CKC | A06 | ARBS | LEAP A-CHECK 6,A06
T108,36,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T108,50,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T108,51,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T108,58,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T108,58,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T108,50,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T108,54,321,321E,120,,,CKC | A06 | ARBS | LEAP A-CHECK 6,A06
T109,64,321,321E,120,,,CKC | A07 | ARBS | LEAP A-CHECK 7,A07
T011,28,319,319S,120,,,CKC | A04 | ARBS | CFM A-CHECK 4,A04
T110,73,321,321E,120,,,CKC | A05 | ARBS | LEAP A-CHECK 5,A05
T110,171,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T110,175,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T110,182,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T110,183,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T110,188,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T110,188,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T111,29,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T111,29,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T111,31,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T111,61,321,321E,120,,,CKC | A07 | ARBS | LEAP A-CHECK 7,A07
T112,20,321,321E,120,,,CKC | A06 | ARBS | LEAP A-CHECK 6,A06
T112,39,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T112,39,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T112,32,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T112,35,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T113,17,321,321E,120,,,CKC | A05 | ARBS | LEAP A-CHECK 5,A05
T113,57,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T113,57,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T113,65,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T113,70,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T113,71,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T114,60,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T114,70,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T114,70,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T114,78,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T114,80,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T114,86,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T115,149,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T115,166,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T115,166,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T115,162,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T115,170,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T115,174,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T116,23,321,321E,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T116,23,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T116,23,321,321E,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T116,194,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T116,198,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T116,198,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T116,198,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T116,204,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T116,216,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T117,16,321,321E,120,,,CKC | A04 | ARBS | LEAP A-CHECK 4,A04
T117,21,321,321E,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T117,21,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T117,191,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T117,195,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T117,198,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T117,199,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T117,201,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T117,204,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T118,76,321,321E,120,,,CKC | A04 | ARBS | LEAP A-CHECK 4,A04
T118,161,321,321E,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T118,161,321,321E,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T118,161,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T118,161,321,321E,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T118,312,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T118,312,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T118,292,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T118,292,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T118,306,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T118,308,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T119,56,321,321E,120,,,CKC | A04 | ARBS | LEAP A-CHECK 4,A04
T119,114,321,321E,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T119,114,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T119,114,321,321E,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T119,114,321,321E,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T119,247,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T119,249,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T119,250,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T119,251,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T119,276,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T119,276,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T012,16,319,319S,120,,,CKC | A04 | ARBS | CFM A-CHECK 4,A04
T120,182,321,321E,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T120,182,321,321E,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T120,182,321,321E,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T120,182,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T120,290,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T120,325,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T120,325,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T120,326,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T120,328,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T120,345,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T121,58,321,321E,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T121,58,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T121,58,321,321E,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T121,58,321,321E,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T121,191,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T121,195,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T121,198,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T121,213,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T121,221,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T121,221,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T122,36,321,321E,120,,,CKC | A04 | ARBS | LEAP A-CHECK 4,A04
T122,100,321,321E,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T122,100,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T122,100,321,321E,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T122,100,321,321E,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T122,241,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T122,241,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T122,246,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T122,247,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T122,268,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T122,258,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T123,40,321,321E,120,,,CKC | A03 | ARBS | LEAP A-CHECK 3,A03
T123,153,321,321E,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T123,153,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T123,153,321,321E,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T123,153,321,321E,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T123,279,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T123,279,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T123,285,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T123,288,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T123,292,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T123,298,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T124,72,321,321E,120,,,CKC | A04 | ARBS | LEAP A-CHECK 4,A04
T124,113,321,321E,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T124,113,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T124,113,321,321E,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T124,113,321,321E,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T124,250,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T124,250,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T124,259,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T124,260,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T124,261,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T124,268,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T125,156,321,321E,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T125,156,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T125,156,321,321E,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T125,156,321,321E,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T125,281,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T125,292,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T125,296,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T125,296,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T125,297,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T125,302,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T126,244,321,321E,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T126,244,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T126,244,321,321E,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T126,244,321,321E,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T126,370,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T126,387,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T126,390,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T126,395,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T126,402,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T126,402,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T127,72,321,321E,120,,,CKC | A03 | ARBS | LEAP A-CHECK 3,A03
T127,265,321,321E,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T127,265,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T127,265,321,321E,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T127,265,321,321E,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T127,373,321,321E,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T127,397,321,321E,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T127,397,321,321E,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T127,393,321,321E,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T127,392,321,321E,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T127,399,321,321E,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T128,74,321,321E,120,,,CKC | A02 | ARBS | LEAP A-CHECK 2,A02
T128,316,321,321E,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T128,316,321,321E,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T128,316,321,321E,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
